method,W,p_value,normal
PCA_7_Agglomerative_n_clusters5_linkageward,0.9783071511859048,0.48298929447040884,True
PCA_7_KMeans_n_clusters5_n_init10_random_state42,0.9489913514832461,0.03101517406282015,False
PCA_7_Spectral_n_clusters5_affinitynearest_neighbors_random_state42,0.7761089187817118,2.575638158070178e-07,False
PCA_7_GMM_n_components6_covariance_typefull_random_state42,0.913979633971898,0.0014385715320571271,False
PCA_7_Agglomerative_n_clusters6_linkageward,0.9838729816744917,0.7222853834852385,True
PCA_7_KMeans_n_clusters6_n_init10_random_state42,0.837498599015522,7.217431311823775e-06,False
PCA_7_Spectral_n_clusters6_affinitynearest_neighbors_random_state42,0.780821958837233,3.2587039325628834e-07,False
PCA_7_GMM_n_components7_covariance_typefull_random_state42,0.9567418563180823,0.06493680395102974,True
PCA_7_Agglomerative_n_clusters7_linkageward,0.9744469016782945,0.34755642666992587,True
PCA_7_KMeans_n_clusters7_n_init10_random_state42,0.9276957523955038,0.0045254246346268555,False
PCA_7_Spectral_n_clusters7_affinitynearest_neighbors_random_state42,0.8388063278035971,7.804701396336926e-06,False
PCA_7_GMM_n_components8_covariance_typefull_random_state42,0.9821442280828576,0.645231007211276,True
PCA_7_Agglomerative_n_clusters8_linkageward,0.9509644498795116,0.037378920820505604,False
PCA_7_KMeans_n_clusters8_n_init10_random_state42,0.8792620883343001,0.00010627596237840884,False
PCA_7_Spectral_n_clusters8_affinitynearest_neighbors_random_state42,0.9492571047671596,0.03180248506087152,False
PCA_7_GMM_n_components9_covariance_typefull_random_state42,0.9785044286333392,0.49075761036754967,True
PCA_7_Agglomerative_n_clusters9_linkageward,0.9466520548220468,0.024898332708786327,False
PCA_7_KMeans_n_clusters9_n_init10_random_state42,0.9549688094154327,0.054769572100257326,True
PCA_7_Spectral_n_clusters9_affinitynearest_neighbors_random_state42,0.871503742760506,6.241880019255173e-05,False
PCA_7_GMM_n_components10_covariance_typefull_random_state42,0.8874803859023147,0.00019023527861263508,False
PCA_7_Agglomerative_n_clusters10_linkageward,0.968687956964073,0.20458050516322812,True
PCA_7_KMeans_n_clusters10_n_init10_random_state42,0.9774484787908665,0.450087257590648,True
PCA_7_Spectral_n_clusters10_affinitynearest_neighbors_random_state42,0.8974949248300937,0.00039757369213208664,False
PCA_8_DBSCAN_eps0.1_min_samples5,0.972157432668013,0.2826721138810471,True
PCA_8_DBSCAN_eps0.2_min_samples5,0.9787147702419055,0.49912312534809933,True
PCA_8_DBSCAN_eps0.30000000000000004_min_samples5,0.9781636022604274,0.47738479882710594,True
PCA_8_DBSCAN_eps0.4_min_samples5,0.9785759547807712,0.4935927909994244,True
PCA_8_DBSCAN_eps0.5_min_samples5,0.9832036805309892,0.6924909248458782,True
PCA_8_DBSCAN_eps0.6000000000000001_min_samples5,0.9842717299670144,0.7399000641856819,True
PCA_8_DBSCAN_eps0.7000000000000001_min_samples5,0.9784855958494816,0.49001274988870713,True
PCA_8_DBSCAN_eps0.8_min_samples5,0.9850773508831817,0.7749265741632265,True
PCA_8_DBSCAN_eps0.9_min_samples5,0.9824880145417468,0.6605401499353083,True
